Code,row,Coded_med,Weight,Code2,Weight02
A1.0,1,A Flu O Cil,1,A7A.0,1
A1.0,2,Abhayarishtam,1,V2.63,7
A1.0,3,Abhraloha,1,J1.0,4
A1.0,4,Abhyanga,3,K2.5,1
A1.0,5,Abhyanga-Shiro,1,A1.0,29
A1.0,6,Agnikarma(Corn/Skin tags/Calcaneal spur)),1,A2.0,9
A1.0,7,Amavatari,1,A7.0,2
A1.0,8,Amlant,3,O1.2,1
A1.0,9,Amrutharishtam,7,S3.0,1
A1.0,10,Arjuna,1,K2.0,3
A1.0,11,Ashta,1,V2.0,8
A1.0,12,Ashwagandarishtam,1,S15.42,1
A1.0,13,Avipathi,2,A16.0,1
A1.0,14,Balahatadi,1,N4.19,1
A1.0,15,Balashwagandhadi,1,K7.0,1
A1.0,16,Brihath Haridra Khandam,1,A6.0,2
A1.0,17,Chinchadi,2,Y1,1
A1.0,18,Chitrakadi,3,V2.23,3
A1.0,19,Dasamoolarishtam,1,S18.0,1
A1.0,20,Dhara-Dhanyamala-Sarvanga,3,S16.0,3
A1.0,21,Dietetics Rounds,3,N2.21.0,2
A1.0,22,Dologran,1,N2.21.1,1
A1.0,23,Eladi,1,S2.0,1
A1.0,24,Flexy Forte,2,N2.18,1
A1.0,25,Freemodex,1,M10.1,1
A1.0,26,G T,1,A5.0,1
A1.0,27,Gandharvashastha Castro,2,J1.2,1
A1.0,28,Gomutra Arka,1,V9.0,1
A1.0,29,Guduchi,9,P5.0,1
A1.0,30,Gugguluthiktakam,1,MS T1.0,1
A1.0,31,Hinguvachadi,1,S14.18,1
A1.0,32,IHC Punarnava,2,A2.1,1
A1.0,33,IHC Shadanga,2,K9.0,1
A1.0,34,IHC Triphala,1,M2.0,1
A1.0,35,Jodarin,1,MS R1,1
A1.0,36,Kaisora Guggulu,3,S14.0,2
A1.0,37,Kanchanara Guggulu,1,V2.36,1
A1.0,38,Kashaya,1,S16.2,1
A1.0,39,Kokilaksha G,2,V2.75,1
A1.0,40,Kokilaksha,1,V2.10,1
A1.0,41,Kottamchukkadi,6,,
A1.0,42,Ksheerabala,1,,
A1.0,43,Kumaryasavam,1,,
A1.0,44,Madhuyashtyadi,2,,
A1.0,45,Madiphala,3,,
A1.0,46,Mahadhanwantharam,1,,
A1.0,47,Mahavishagarba,1,,
A1.0,48,Mahayogaraj Guggulu,2,,
A1.0,49,Manasamithra,1,,
A1.0,50,Manjishtadi,2,,
A1.0,51,Nagaradi,1,,
A1.0,52,Neuron,1,,
A1.0,53,Nimbadi,1,,
A1.0,54,Nimbadi Guggulu,1,,
A1.0,55,Panaka,2,,
A1.0,56,Panchakola,3,,
A1.0,57,Panchakolasavam,1,,
A1.0,58,Paneeya,3,,
A1.0,59,Pinda,1,,
A1.0,60,Prabhakar,1,,
