season,Code,description,cnt
01 Vasant Rutu,V2.63,Vaatavyaadhi - Sandhigata Vaata,1029
01 Vasant Rutu,V2.0,Vaatavyaadhi,690
01 Vasant Rutu,V2.23,Vaatavyaadhi - Gridhrasee,674
01 Vasant Rutu,M2.0,Madhumeha,426
01 Vasant Rutu,P5.0,Prameha,370
01 Vasant Rutu,V2.10,Vaatavyaadhi - Avabaahuka,303
01 Vasant Rutu,A2.0,Aamavaata,277
01 Vasant Rutu,S14.21,Sthaanabhedena Shoola - Katee Shoola,266
01 Vasant Rutu,S13.11,Sthaanabhedena Graha - Katee Graha,194
01 Vasant Rutu,S16.0,Sthaulya,168
01 Vasant Rutu,MS G1.0,Greeva Graha,162
01 Vasant Rutu,M10.1,Medoroga - Sthula medho roga,141
01 Vasant Rutu,A6.0,Amlapitta,135
01 Vasant Rutu,A3.0,Abhighataja Shoola,125
01 Vasant Rutu,S14.0,Sthaanabhedena Shoola,115
01 Vasant Rutu,N4.0,Netra Roga,107
01 Vasant Rutu,V1.0,Vaatarakta,100
01 Vasant Rutu,V2.36,Vaatavyaadhi - Kateegata Vaata,93
01 Vasant Rutu,K2.0,Kaasa,86
01 Vasant Rutu,G9.7,Granthi - Siraa Granthi,68
01 Vasant Rutu,V2.56.0,Vaatavyaadhi - Pakshavadha,61
01 Vasant Rutu,k12.0,Kushtha,61
01 Vasant Rutu,S4.0,Shvaasa,57
01 Vasant Rutu,M10.2,Medoroga - Sukshma medho roga,46
01 Vasant Rutu,V2.9,Vaatavyaadhi - Asthigata Vaata,46
01 Vasant Rutu,S14.7,Sthaanabhedena Shoola - Baahu Shoola,42
01 Vasant Rutu,N2.18,Naasaa Roga - Peenasa,41
01 Vasant Rutu,V2.2,Vaatavyaadhi - Aadhmaana,40
01 Vasant Rutu,MS R1,Raktachapa,36
01 Vasant Rutu,A12.0,Artava Vyapad,35
01 Vasant Rutu,V2.34.0,Vaatavyaadhi - Kampa,35
01 Vasant Rutu,H2.0,Hridroga,33
01 Vasant Rutu,M10.0,Medoroga,31
01 Vasant Rutu,S2.10,Shiroroga - Shirahshoola,31
01 Vasant Rutu,S3.0,Shotha,31
01 Vasant Rutu,V16.0,Vrikka Roga,30
01 Vasant Rutu,K9.0,Kshudra Roga,29
01 Vasant Rutu,N2.21.0,Naasaa Roga - Pratishyaaya,29
01 Vasant Rutu,P5.4,Prameha - Upadrava,29
01 Vasant Rutu,S13.19,Sthaanabhedena Graha - Prishtha Graha,29
01 Vasant Rutu,S14.17,Sthaanabhedena Shoola - Jaanu Shoola,29
01 Vasant Rutu,S18.0,Swastha,28
01 Vasant Rutu,B3.0,Bhagna,27
01 Vasant Rutu,A11.0,Arshas,26
01 Vasant Rutu,V2.75,Vaatavyaadhi - Vaatakantaka,26
01 Vasant Rutu,B5,Bhrama,24
01 Vasant Rutu,S16.1,Stree Roga,24
01 Vasant Rutu,Y1,Yakrit Dosha,23
01 Vasant Rutu,K10.38A,Kshudra Roga - Parikartikaa,21
01 Vasant Rutu,J1.0,Jwara,20
01 Vasant Rutu,MS M1.0,Mutrashteela,20
01 Vasant Rutu,S15.31,Sthaanabhedena Shoola - Paada Shoola,20
01 Vasant Rutu,A5.0,Ajeerna,19
01 Vasant Rutu,V2.30,Vaatavyaadhi - Jaanugata Vaata,19
01 Vasant Rutu,M13.0,Mootra Roga,18
01 Vasant Rutu,V5.1,Vibandha - Mala Vibandha,18
01 Vasant Rutu,K3.0,Kandoo,17
01 Vasant Rutu,S14.4,Sthaanabhedena Shoola - Anga Shoola,17
01 Vasant Rutu,S0.0,Saamavata,16
01 Vasant Rutu,S15.36,Sthaanabhedena Shoola - Prishtha Shoola,16
01 Vasant Rutu,k12.9,Kushtha-kitibha,16
01 Vasant Rutu,A13.0,Ashmaree,15
01 Vasant Rutu,M5.0,Maanasa Roga,15
01 Vasant Rutu,S17.0,Supti,15
01 Vasant Rutu,D1.0,Dourbalya,14
01 Vasant Rutu,G8.0,Grahanee,14
01 Vasant Rutu,S1.0,Sheetapitta,14
