season,Code,description,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
01 Vasant Rutu,A1.0,Aamadosha,,,,1,5,2,1,2
01 Vasant Rutu,A11.0,Arshas,,,,6,7,6,4,4
01 Vasant Rutu,A11.10,Arsha - Raktaja Arsha,,,,,1,1,,
01 Vasant Rutu,A12.0,Artava Vyapad,,,,5,9,4,16,1
01 Vasant Rutu,A12.1,Artava Vyapad - Anartava,,,,1,,,1,
01 Vasant Rutu,A12.10,Artava Vyapad - Artava Kshaya,,,,,,,,4
01 Vasant Rutu,A12.11,ARTAVA VYAPAD - Pushpaghni Jataharini,,,,,,,,7
01 Vasant Rutu,A12.4,Artava Vyapad - Ksheenartava,,,,,,,1,
01 Vasant Rutu,A12.9,Artava Vyapad - Vataja,,,,1,,,,
01 Vasant Rutu,A13.0,Ashmaree,,,,2,3,3,5,2
01 Vasant Rutu,A13.2,Ashmaree - Pittaja,,,,1,,2,,1
01 Vasant Rutu,A16.0,Atisaara,,,,3,2,2,2,
01 Vasant Rutu,A2.0,Aamavaata,,,1,46,65,67,80,76
01 Vasant Rutu,A2.1,Aamavaata - Kaphaja,,,,,,1,,1
01 Vasant Rutu,A2.2,Aamavaata - Pittaja,,,,1,,,,
01 Vasant Rutu,A2.3,Aamavaata - Vaataja,,,,3,1,,,1
01 Vasant Rutu,A3.0,Abhighataja Shoola,,,1,14,17,20,35,40
01 Vasant Rutu,A4.0,Agnimaandya,,,,,,1,2,2
01 Vasant Rutu,A5.0,Ajeerna,,,,4,5,4,4,2
01 Vasant Rutu,A5.1,Ajeerna- vidagdhajeerna,,,,,,1,,
01 Vasant Rutu,A5.2,Ajeerna-Amajeerna,,,,1,,,,
01 Vasant Rutu,A5.3,Ajeerna-vishtabdhajeerna,,,,1,,,,
01 Vasant Rutu,A6.0,Amlapitta,,,,12,32,29,35,41
01 Vasant Rutu,A6.1,Amlapitta-Adhoga,,,,,,,1,
01 Vasant Rutu,A6.2,Amlapitta-Urdhwaga,,,,,4,2,1,4
01 Vasant Rutu,A7.0,Anaha,,,,2,1,1,,
01 Vasant Rutu,A7A.0,Anidra,,,,2,2,2,5,3
