all_diag,dname
,sec011_var001_Allopathic Diagnosis
POST TRAUMATIC QUADRIPLEGIA WITH COLD CONTUSION AT C4-C5,sec011_var001_Allopathic Diagnosis
POST TRAUMATIC TETRAPLEGIA WITH CORD CONTUSION,sec011_var001_Allopathic Diagnosis
"",sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLITIS,sec011_var001_Allopathic Diagnosis
POLYNEURITIS,sec011_var001_Allopathic Diagnosis
ARD,sec011_var001_Allopathic Diagnosis
CALCANEAL SPURR,sec011_var001_Allopathic Diagnosis
ACHILLIS BURSITIS,sec011_var001_Allopathic Diagnosis
GALL BLADDER PAIN,sec011_var001_Allopathic Diagnosis
LBA,sec011_var001_Allopathic Diagnosis
INSOMNIA,sec011_var001_Allopathic Diagnosis
ROTATORY CUFF SYNDROME,sec011_var001_Allopathic Diagnosis
RA,sec011_var001_Allopathic Diagnosis
SPONDYLOLYSIS,sec011_var001_Allopathic Diagnosis
APD,sec011_var001_Allopathic Diagnosis
GOUTY ARTHRITIS WITH MYALGIA,sec011_var001_Allopathic Diagnosis
OSTEOPENIA,sec011_var001_Allopathic Diagnosis
VARICOSE VEINS,sec011_var001_Allopathic Diagnosis
VARICOSE VEIN,sec011_var001_Allopathic Diagnosis
RHINITIS,sec011_var001_Allopathic Diagnosis
# NECK OF FEMUR,sec011_var001_Allopathic Diagnosis
LUMBARSPONDYLITIS,sec011_var001_Allopathic Diagnosis
SACROILLITIS,sec011_var001_Allopathic Diagnosis
OA,sec011_var001_Allopathic Diagnosis
IVDP,sec011_var001_Allopathic Diagnosis
DM,sec011_var001_Allopathic Diagnosis
VARICOSE VIEN,sec011_var001_Allopathic Diagnosis
URTI,sec011_var001_Allopathic Diagnosis
LUMBO SACRAL STRAIN,sec011_var001_Allopathic Diagnosis
DIABETES MELLITUS,sec011_var001_Allopathic Diagnosis
LUMBOSACRAL STRAIN,sec011_var001_Allopathic Diagnosis
GASTRITIS,sec011_var001_Allopathic Diagnosis
LUMBAR SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
