section_id,cnt,unqpat,cnt_1,cnt_2,unqpat_1,unqpat_2
1,116119,28127,63586,52533,27849,19223
2,436,160,218,218,160,160
3,457,172,230,227,172,169
4,706881,29862,393906,312975,29862,20309
6,27674,4932,16042,11632,4903,4021
7,74927,3658,33818,41109,3658,2984
8,474,174,245,229,164,142
9,30341,7480,16527,13814,7151,5877
10,465614,38079,287344,178270,37975,25571
11,34457,12785,21260,13197,12642,8476
12,38061,13587,24276,13785,13404,7678
13,20533,7882,11261,9272,7747,6445
14,218190,37708,129744,88446,37596,25628
17,18168,8628,12118,6050,8443,4755
19,96,12,15,81,12,12
20,4666,1093,1957,2709,882,1084
21,45075,2604,14831,30244,1926,2602
22,6,2,4,2,2,1
23,13,10,13,,10,
24,10,3,9,1,3,1
25,2,2,2,,2,
26,16,10,16,,10,
27,2,2,2,,2,
29,1,1,1,,1,
30,6,6,6,,6,
31,12658,2772,8183,4475,2772,1420
32,1574,202,787,787,202,202
33,13923,2564,8603,5320,2564,1244
34,1937,329,1669,268,329,55
35,10937,2942,7529,3408,2942,1422
36,1925,381,1234,691,381,225
37,847,113,511,336,113,81
38,2194,248,1328,866,248,153
39,42,3,21,21,3,3
40,121,4,24,97,4,4
42,18,3,9,9,3,3
44,2,1,1,1,1,1
77,3638,2209,3638,,2209,
78,326,141,326,,141,
79,31,26,31,,26,
80,4266,1510,4266,,1510,
81,8635,2370,8635,,2370,
82,1133,994,1133,,994,
83,3437,1717,3437,,1717,
84,541,504,541,,504,
85,4088,2330,4088,,2330,
86,1044,956,1044,,956,
88,1601,808,1601,,808,
89,18364,2147,18364,,2147,
99,5927,2556,5927,,2556,
100,145,115,145,,115,
101,357,184,357,,184,
102,255,177,255,,177,
103,8,3,8,,3,
104,1,1,1,,1,
106,5,3,5,,3,
108,1,1,1,,1,
109,1,1,1,,1,
111,12,3,12,,3,
112,6,2,6,,2,
114,3,3,3,,3,
115,2,2,2,,2,
116,22,21,22,,21,
119,39,35,39,,35,
120,5,5,5,,5,
122,9585,4813,9585,,4813,
123,698,628,698,,628,
124,421,261,421,,261,
126,1339,258,1339,,258,
