Code,Description,distype,date
A2.0,Aamavaata,RMSD,25-Dec-16
A2.1,Aamavaata - Kaphaja,RMSD,25-Dec-16
A2.2,Aamavaata - Pittaja,RMSD,25-Dec-16
A2.3,Aamavaata - Vaataja,RMSD,25-Dec-16
A3.0,Abhighataja Shoola,RMSD,25-Dec-16
M10.0,Medoroga,Metabolic,25-Dec-16
M10.1,Medoroga - Sthula medho roga,Metabolic,25-Dec-16
M10.2,Medoroga - Sukshma medho roga ,Metabolic,25-Dec-16
M2.0,Madhumeha,Metabolic,25-Dec-16
P5.0,Prameha,Metabolic,25-Dec-16
P5.1,Prameha - Krusha,Metabolic,25-Dec-16
P5.2,Prameha - Pidaka,Metabolic,25-Dec-16
P5.3,Prameha - Sthula,Metabolic,25-Dec-16
P5.4,Prameha - Upadrava,Metabolic,25-Dec-16
S10.0,Stambha,RMSD,25-Dec-16
S10.1,Stambha - Baahu Stambha,RMSD,25-Dec-16
S10.10,Stambha - Prishtha Stambha,RMSD,25-Dec-16
S10.12,Stambha - Sandhi Stambha,RMSD,25-Dec-16
S10.13,Stambha - Siraa Stambha,RMSD,25-Dec-16
S10.14,Stambha - Uru Stambha,RMSD,25-Dec-16
S10.4,Stambha - Greevaa Stambha,RMSD,25-Dec-16
S10.5,Stambha - Hanu Stambha,RMSD,25-Dec-16
S10.6,Stambha - Hridaya Stambha,RMSD,25-Dec-16
S13.0,Sthaanabhedena Graha,RMSD,25-Dec-16
S13.1,Sthaanabhedena Graha - Anga Graha,RMSD,25-Dec-16
S13.11,Sthaanabhedena Graha - Katee Graha,RMSD,25-Dec-16
S13.13,Sthaanabhedena Graha - Manyaa Graha,RMSD,25-Dec-16
S13.14,Sthaanabhedena Graha - Marma Graha,RMSD,25-Dec-16
S13.17,Sthaanabhedena Graha - Paada Graha,RMSD,25-Dec-16
S13.18,Sthaanabhedena Graha - Paarshva Graha,RMSD,25-Dec-16
S13.19,Sthaanabhedena Graha - Prishtha Graha,RMSD,25-Dec-16
S13.20,Sthaanabhedena Graha - Shiro Graha,RMSD,25-Dec-16
S13.22,Sthaanabhedena Graha - Uro Graha,RMSD,25-Dec-16
S13.23,Sthaanabhedena Graha - Vaak Graha,RMSD,25-Dec-16
S13.3,Sthaanabhedena Graha - Gala Graha,RMSD,25-Dec-16
S13.5,Sthaanabhedena Graha - Hanu Graha,RMSD,25-Dec-16
S13.6,Sthaanabhedena Graha - Hrid Graha,RMSD,25-Dec-16
S13.7,Sthaanabhedena Graha - Jaanugraha,RMSD,25-Dec-16
S13.8,Sthaanabhedena Graha - Janghaa Graha,RMSD,25-Dec-16
S14.0,Sthaanabhedena Shoola,RMSD,25-Dec-16
S14.11,Sthaanabhedena Shoola - Guda Shoola,RMSD,25-Dec-16
S14.13,Sthaanabhedena Shoola - Gulpha Shoola,RMSD,25-Dec-16
S14.14,Sthaanabhedena Shoola - Hanu Shoola,RMSD,25-Dec-16
S14.15,Sthaanabhedena Shoola - Hasta Shoola,RMSD,25-Dec-16
S14.16,Sthaanabhedena Shoola - Hrid Shoola,RMSD,25-Dec-16
S14.17,Sthaanabhedena Shoola - Jaanu Shoola,RMSD,25-Dec-16
S14.18,Sthaanabhedena Shoola - Janghaa Shoola,RMSD,25-Dec-16
S14.19,Sthaanabhedena Shoola - Kantha Shoola,RMSD,25-Dec-16
S14.21,Sthaanabhedena Shoola - Katee Shoola,RMSD,25-Dec-16
S14.23,Sthaanabhedena Shoola - Kukshi Shoola,RMSD,25-Dec-16
S14.24,Sthaanabhedena Shoola - Manyaa Shoola,RMSD,25-Dec-16
S14.3,Sthaanabhedena Shoola - Amsa Shoola,RMSD,25-Dec-16
S14.4,Sthaanabhedena Shoola - Anga Shoola,RMSD,25-Dec-16
S14.5,Sthaanabhedena Shoola - Anguli Shoola,RMSD,25-Dec-16
S14.6,Sthaanabhedena Shoola - Asthi Shoola,RMSD,25-Dec-16
S14.7,Sthaanabhedena Shoola - Baahu Shoola,RMSD,25-Dec-16
S15.28,Sthaanabhedena Shoola - Nakha Shoola,RMSD,25-Dec-16
S15.31,Sthaanabhedena Shoola - Paada Shoola,RMSD,25-Dec-16
S15.32,Sthaanabhedena Shoola - Paarshni Shoola,RMSD,25-Dec-16
S15.34,Sthaanabhedena Shoola - Parva Shoola,RMSD,25-Dec-16
S15.36,Sthaanabhedena Shoola - Prishtha Shoola,RMSD,25-Dec-16
S15.41,Sthaanabhedena Shoola - Sakthi Shoola,RMSD,25-Dec-16
S15.42,Sthaanabhedena Shoola - Sandhi Shoola,RMSD,25-Dec-16
S15.43,Sthaanabhedena Shoola - Skandha Shoola,RMSD,25-Dec-16
S15.44,Sthaanabhedena Shoola - Snaayu Shoola,RMSD,25-Dec-16
S15.45,Sthaanabhedena Shoola - Sphik Shoola,RMSD,25-Dec-16
S15.46,Sthaanabhedena Shoola - Stanaanta Shoola,RMSD,25-Dec-16
