sec004_var003_Diagnostic History|subchar004_003
 WORKED IN PRINTTING PRESS AS COMPOSER & BINDER, HOUSEWIFE |Bookbinders and related workers
@ BSNL OFFICE- SEDENTARY WORK.|Business professionals not elsewhere classified
100KM DRIVING DAILY, & CLIMBING 4-5 FLOORS DAILY|Business professionals not elsewhere classified
50KM DRIVING DAILY|Business professionals not elsewhere classified
50KMS TWO WHEELER RIDING|Business professionals not elsewhere classified
8-9 HOURS STANDING.|Business professionals not elsewhere classified
AC MECHANIC|Electrical mechanics and fitters
ACCOUNTANT|Accountants
ACCOUNTANT AT COMPANY|Accountants
ACCOUNTS DEPARTMENT|Accountants
ACCOUNTS WORK|Accountants
ACP|Police officers
ADMINISTRATION|Administrative secretaries and related associate professionals
ADMINISTRATION WORK|Administrative secretaries and related associate professionals
ADMINISTRATIVE MANAGER(RETIRED)|Administrative secretaries and related associate professionals
ADMINISTRATIVE WORK (MORE OF TRAVELING)|Administrative secretaries and related associate professionals
ADMINISTRATOR OFFICER RETIRED|Administrative secretaries and related associate professionals
ADVOCATE|Lawyers
ADVOCATE,AGRICULTURIST -NOW REST LIFE|Lawyers
AE IN KPTCL|Business professionals not elsewhere classified
AGRICULTURAL OFFICER|Subsistence agricultural and fishery workers
AGRICULTURE|Subsistence agricultural and fishery workers
AGRICULTURE & CONTRACTOR|Subsistence agricultural and fishery workers
AGRICULTURE- HEAVY MANUAL WORKS , MILKING COWS 60L / DAY, LIFTING HEAVY WEIGHTS|Subsistence agricultural and fishery workers
AGRICULTURE SCIENTIST|Subsistence agricultural and fishery workers
AGRICULTURIST|Subsistence agricultural and fishery workers
AGRICULTURIST AND MARKETING|Subsistence agricultural and fishery workers
AGRICULTURIST.|Subsistence agricultural and fishery workers
AIR FORCE|Armed forces
AIR FORCE OFFICER|Armed forces
ALONE HANDLE HER OWN PRE - SCHOOL|Pre-primary education teaching professionals
ARCHITECT|Architects, town and traffic planners
ARCHITECT - PROLONGED SITTING|Architects, town and traffic planners
ARCHITECT STUDENT|Architects, town and traffic planners
ARCHITECTOR|Architects, town and traffic planners
ARCHITECTURE|Architects, town and traffic planners
ARTIST|Film, stage and related actors and directors
AS PATIENT IS A PROFESSIONAL DANCER ,DUE TO TO VIOLENT JOINT MOVEMENTS PAIN STARTED IN THE JOINTS|Film, stage and related actors and directors
ASSISTANT ENGINEER|Engineer
ASSISTANT MANAGER|General managers not elsewhere classified
ASSISTENT GENERAL MANAGER|General managers not elsewhere classified
ASSO WITH RAMAKRISHNA MISSION - PREACHING- LONG STANDING|Religious associate professionals
ASSOCIATE PROFESSOR|College, university and higher education teaching professionals
AT HOME|Home-based personal care workers
ATHLET|Athletes, sportspersons and related associate professionals
ATHLETIC|Athletes, sportspersons and related associate professionals
