medicine_name|Coded_med|Company|Quantity|Unit|Type_med
5 Graine Healthy cereals (400 gm) (F & B)|5 Graine Healthy cereals (400 gm) (F & B)||||Misc
777 Oil 100ml (Dr JRK)|777|Dr JRK|100|ml|Oil
777 Oil 200ml (Dr JRK)|777|Dr JRK|200|ml|Oil
A Flu O Cil Tab (Dooth)|A Flu O Cil|Dooth|||Tablet / Gulika / Vati
aa caps (anti-asthma) - Jammi|aa caps (anti-asthma) - Jammi||||Tablet / Gulika / Vati
Abana Tab (Himalaya)|Abana|Himalaya|||Tablet / Gulika / Vati
Abdominal Belt -L [ Vissco-0501 ]|Abdominal Belt -L [ Vissco-0501 ]||||Bandage / Belt / External
Abdominal Corset ( Belt )|Abdominal Corset ( Belt )||||Bandage / Belt / External
Abhaya Choornam|Abhaya||||Choornam / Powder
Abhayarishtam|Abhayarishtam||||Aristham
Abhayarishtam [avp]|Abhayarishtam|AVP|||Aristham
Abhyarishtam 450 ml (AVP)|Abhayarishtam|AVP|450|ml|Aristham
Abhyarishtam 450 ml SNA|Abhayarishtam|SNA|450|ml|Aristham
Abhyarishtam 450 ml Vaidya|Abhayarishtam|Vaidya|450|ml|Aristham
Abhra loha Tab (Dooth)|Abhraloha|Dooth|||Tablet / Gulika / Vati
Abhraloha Tab|Abhraloha|Dooth|||Tablet / Gulika / Vati
Abhrak bhasma (Dooth) 2gm|Abhraka|Dooth|2|gm|Bhasma
Abhraka Bhasma 5g [101] (AVP)|Abhraka|AVP|5|gm|Bhasma
Abhraka Bhasma AVP|Abhraka|AVP|||Bhasma
Abhraka Bhasma Dooth-100Butas|Abhraka|Dooth-100Butas|||Bhasma
Abhrakam bhasma|Abhraka||||Bhasma
Abhraka Bhasma 1g (Sahasraputi) Dhoot|Abhraka|Dhoot|1|gm|Bhasma
Abhyanga|Abhyanga||||Abhyanga
Abhyanga ^|Abhyanga||||Abhyanga
Abhyanga + Annalepanam - NETRA|Abhyanga + Annalepanam - NETRA||||Abhyanga
Abhyanga + Dhoopanam + Pooranam - KARNA|Abhyanga + Dhoopanam + Pooranam - KARNA||||Abhyanga
