medicine_name,medicine_id
Ksheerabala (101) 10 ml,1045
Agnitundi Bati 80T (Baidyanath),9414
Prasarinyadi Ksm SNA,5133
Gopeechandanadi Gulika SNA,3553
Rasnadi Choornam [avp],696
Tribhuvan Kriti Ras Tab,1314
Ardraka (Sunti),1396
Useera Churna,1531
Prasarini Thailam Vaidya,5983
Jambeera Thailam,4932
Finger Excercise Gel Ball (VRPL),5493
Chinchadi Thailam (Big) 200 ml (AVP),148
Kashyapa Ghritham (Sreedhareeyam),9263
Supad Diana [Female],10392
Brihatchagaladi Gritham,169
Sallaki (Sambrani),1505
IHC Jyothishmadi oil,5173
Dasamoolakaduthrayam Ks Rajah,8339
Panchamrutha Ks,5631
Hutabhugadi Choornam,331
Dhanwantaram mezhupakam,237
Marvin,510
Dhanwantharam Kuzham 200ml (AVP),214
Pravala Bhasmam (AVP),660
Gycon Syr. 200ml (Green Remedies),8559
Kumkumadi Lepam [Imis],9172
Taila Satru (Incha),1521
Thikthakam Gritham SNA,4905
Sarivadi Bati (Baidyanath),8499
AJ Cough Choorna (Kumar),9161
Thalesapathra Vatakam tab (Bipha),1142
Arjin Tab (Alarsin),3718
Madhusnuhirasayanam [big] (AVP),2092
Shiva Gutika 32T (BVP) (Sadvaidya),9329
Evanova Cap (Charak),10718
Pinda Thailam Vaidya,2611
Brahmi Tailam (AVP),2006
Rhulief Balm 30g,10255
Nimba_1,1479
Asnavilwadi Oil Vaidya,3310
Kasturi Haridra,1446
Foley Catheter 10G,4543
Purifying Neem Face Wash 100ml,10036
Kajal 1gm[Himalaya],9201
Agaru,11
Kutajarishtam 450 ml (AVP),437
Sathadowtha Gritha AVP,4671
Rasanadwigunabhagam ks,967
Step Caps,8349
Brihat Vata Chintamani Tab 30 plain (Swedeshi),11223
Ramabana Oil 200ml,5810
Shunti,1264
Kamadugha Plain 25Tab (Dooth),2051
Vasanth kusum plain Tab,4094
Phalathrika Tab,640
Hriswa Cap 10s (Sreedhareeyam),9264
Hingavachadi Gulika,963
Dhanwantharam Gritham (AVP),1319
Eladi Choornam,255
IHC Vidanga choorna,9159
Chemparuthi Soap,4556
Maya Black Tea,5109
Surgical Lumbo Sacro Corset 40,5446
IHC Asokatwak churna,8566
IHC Laja,9215
Eladi Co Oil SNA,4122
Cystone Tab (Himalaya),1661
Chesteez Syr,4243
Patolamooladi Ks [AVP],633
Drakshooin,247
IHC Shadanga churna,5327
Moorchita Taila 200ml(SDM),11091
Dhanwantharam Kuzham Vaidya,3106
Kamadudha Ras SDM,4419
Dhanniamlam 450ml [sna],1103
Yellow Wax,1549
Veeratharadyasavam 450 ml,916
mahananjistadi Ks,481
Krimighna Vati Kottekal,3992
Chirivilwadi kashyam [avp],1203
Asanadi Kashaya Choorna 250g (SDM),3234
Narasimha Rasayanam,557
Bringamalakadi Co Oil SNA,5251
Fairina Fairness Soap,5821
Nagaradi Choornam,553
Sathadautham Gritha Ointment (Vaidya),4492
Gokharu Ks 450 ml [ Sandu],9415
Vishamusti Thailam 100 ml,936
Kineaz Tab - 10's - Atrimed,9022
Stayfree Dry Max (14Pads),4049
Gulguluthikthakam Ks Rajah,8341
Mrithasanjeevani 450 ml,530
Cognium Tab (Charak),10401
Rasaraja Ras Tab-10' (Gold) - Dooth,5241
Amruthaprasa Ghritham,2000
Blade Wil Kinson,4116
Ural BPH tab,878
Vishaladi Choornam,3674
Folding Walker (1955),4788
Punaranavadi Ks Tab (AVN),669
Kadaleephaladi Thailam,3991
Dasamoola choorna,3996
IHC Sarshapa tailam(Mustard oil),8456
Chukkumthippalyadi Gulika (AVP),173
Rasnaerandadi Ks [Vaidya],9088
Ural Cap 30C (Vasu),10218
Surasadi Oil,2157
Gallant Razor with Cartridge,5464
Chirivilwadi Ks Tab AVP,152
Flexofen MR Cap (Prakruthi),4826
Rasnaerandadi Ksm (AVP),708
Whole Wheat Khakhara (Chilli Garlic) - 180 gms (F & B),10374
Knee Cap XL Vissco[ 0705],5151
Rakta chandana,688
Ragi Biscut Salt,1267
Vaiswanara Choornam 50g (Vaidya),9126
Guluchayadi Kashyam Vaidya,10517
Ashtavargam ks SNA,2709
Chitrakasavam 450ml (AVN),8958
Whisper Wings,1366
Neelibhringadi Co Oil-Vaidya,9972
Mahavatvidhwansan Ras Tab,492
Masha Oil SNA,4027
Dhatri Loha Tab (Baidyanath),219
Me-Cal Tab 10T,9980
Pushkaramoolasava 450ml (Saptagiri),1186
Dhanwantharam Gulika 100 DAP,986
Laser Sport 2,5462
Dhanwatharam Gritham,217
Dhanwantharam mezhupakam [avp],1119
"Balant Kadha No 1,2",8404
Honey 500gm (Nisarga),9236
Gulgulthikthakam Gritha Vaidya,2031
Pentaphyte P 5 Cream,4150
Mukakanthi Vatika Vaidya,534
Vrikshamlam (kokkam),927
Prabhanjanam Thailam 200 ml SNA,2813
Thriphaladi Co Oil SNA,4414
Hiowna JR Strawbeery,4667
Siddhamakaradhwaja Plain,8544
Kachooradi Choorna (Rajah),8287
Nilsin capsules,1214
Malathyadi Thailam (AVP),495
Ichchhabhedi Rasa Tab 40T (Dooth),10271
Rasona,712
