medicine_name,med_change
3602Gulgulpanchapala Choornam 50 gm,3602Gulgulpanchapala Choornam 50 gm
5 Graine Healthy cereals (400 gm) (F & B),5 Graine Healthy cereals (400 gm) (F & B)
777 Oil 100ml (Dr JRK),777 Oil 100ml (Dr JRK)
777 Oil 200ml (Dr JRK),777 Oil 200ml (Dr JRK)
A Flu O Cil Tab (Dooth),A Flu O Cil Tab (Dooth)
A J Cough Choornam,A J Cough Choornam
AJ Cough Choorna (Kumar),AJ Cough Choorna (Kumar)
Abana Tab (Himalaya),Abana Tab (Himalaya)
Abdominal Belt -L [ Vissco-0501 ],Abdominal Belt -L [ Vissco-0501 ]
Abdominal Corset ( Belt ),Abdominal Corset ( Belt )
Abhaya Choornam,Abhaya Choornam
Abhayarishtam,Abhayarishtam
Abhayarishtam [avp],Abhayarishtam [avp]
Abhra loha Tab (Dooth),Abhra loha Tab (Dooth)
Abhrak bhasma (Dooth) 2gm,Abhrak bhasma (Dooth) 2gm
Abhraka Bhasma 1g (Sahasraputi) Dhoot,Abhraka Bhasma 1g (Sahasraputi) Dhoot
Abhraka Bhasma 5g [101] (AVP),Abhraka Bhasma 5g [101] (AVP)
Abhraka Bhasma AVP,Abhraka Bhasma AVP
Abhraka Bhasma Dooth-100Butas,Abhraka Bhasma Dooth-100Butas
Abhrakam bhasma,Abhrakam bhasma
Abhraloha Tab,Abhraloha Tab
Abhyanga,Abhyanga
Abhyanga + Annalepanam - NETRA,Abhyanga + Annalepanam - NETRA
Abhyanga + Dhoopanam + Pooranam - KARNA,Abhyanga + Dhoopanam + Pooranam - KARNA
Abhyanga + Dhoopanam- KARNA,Abhyanga + Dhoopanam- KARNA
Abhyanga + Pooranam - KARNA,Abhyanga + Pooranam - KARNA
Abhyanga + Sweda-SSPS(Navara Kizhi) - NETRA,Abhyanga + Sweda-SSPS(Navara Kizhi) - NETRA
Abhyanga ^,Abhyanga ^
Abhyanga**,Abhyanga**
Abhyanga-Ardhanga ^,Abhyanga-Ardhanga ^
Abhyanga-Ekanga ^,Abhyanga-Ekanga ^
Abhyanga-Karna ^,Abhyanga-Karna ^
Abhyanga-Netra ^,Abhyanga-Netra ^
Abhyanga-Shiro ^,Abhyanga-Shiro ^
Abhyanga-Spl Marma Ardhanga^,Abhyanga-Spl Marma Ardhanga^
Abhyanga-Spl Marma Ekanga^,Abhyanga-Spl Marma Ekanga^
Abhyanga-Spl Marma Sarvanga^,Abhyanga-Spl Marma Sarvanga^
