sttdis,grpcomb,node001,node002,node003,node004,node005,node006,node007,node008,node009,node010,node011,node012,node013,node014,node015,node016,node017,node018,node019,node020,node021,node022,node023,node024,node025,node026,node027
A1.0,' 'A1.0' ' ' 'A2.0' ','A1.0','A1.0' 'A2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'A2.0' ' ' 'J1.0' ' ' 'K2.0' ','A1.0','A1.0' 'A2.0','A1.0' 'A2.0' 'J1.0','A1.0' 'A2.0' 'J1.0' 'K2.0', , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'A6.0' ' ' 'V2.63' ','A1.0','A1.0' 'A6.0','A1.0' 'A6.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'A7.0' ' ' 'S16.0' ','A1.0','A1.0' 'A7.0','A1.0' 'A7.0' 'S16.0', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ','A1.0','A1.0' 'J1.2','A1.0' 'J1.2' 'V9.0','A1.0' 'J1.2' 'V9.0' 'P5.0','A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63','A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63' 'J1.0','A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63' 'J1.0' 'N2.21.0', , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ','A1.0','A1.0' 'M10.1','A1.0' 'M10.1' 'V2.63','A1.0' 'M10.1' 'V2.63' 'V2.23','A1.0' 'M10.1' 'V2.63' 'V2.23' 'A5.0', , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'MS T1.0' ' ' 'S14.18' ','A1.0','A1.0' 'MS T1.0','A1.0' 'MS T1.0' 'S14.18', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'S14.0' ','A1.0','A1.0' 'S14.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'S16.0' ' ' 'S16.2' ','A1.0','A1.0' 'S16.0','A1.0' 'S16.0' 'S16.2', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.0' ','A1.0','A1.0' 'V2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.0' ' ' 'S15.42' ','A1.0','A1.0' 'V2.0','A1.0' 'V2.0' 'S15.42', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.0' ' ' 'V2.63' ','A1.0','A1.0' 'V2.0','A1.0' 'V2.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.10' ' ' 'V2.23' ','A1.0','A1.0' 'V2.10','A1.0' 'V2.10' 'V2.23', , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.36' ','A1.0','A1.0' 'V2.36', , , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.63' ','A1.0','A1.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , , 
A1.0,' 'A1.0' ' ' 'V2.75' ','A1.0','A1.0' 'V2.75', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A16.0' ' ' 'V2.63' ','A11.0','A11.0' 'A16.0','A11.0' 'A16.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A2.0' ','A11.0','A11.0' 'A2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A2.0' ' ' 'G10.0' ' ' 'N2.21.0' ','A11.0','A11.0' 'A2.0','A11.0' 'A2.0' 'G10.0','A11.0' 'A2.0' 'G10.0' 'N2.21.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A6.0' ' ' 'K10.38' ' ' 'K10.38A' ' ' 'G8.0' ' ' 'V2.23' ','A11.0','A11.0' 'A6.0','A11.0' 'A6.0' 'K10.38','A11.0' 'A6.0' 'K10.38' 'K10.38A','A11.0' 'A6.0' 'K10.38' 'K10.38A' 'G8.0','A11.0' 'A6.0' 'K10.38' 'K10.38A' 'G8.0' 'V2.23', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A6.0' ' ' 'MS G1.0' ' ' 'V2.23' ' ' 'V2.36' ','A11.0','A11.0' 'A6.0','A11.0' 'A6.0' 'MS G1.0','A11.0' 'A6.0' 'MS G1.0' 'V2.23','A11.0' 'A6.0' 'MS G1.0' 'V2.23' 'V2.36', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A6.0' ' ' 'S13.11' ' ' 'S4.0' ' ' 'V2.63' ','A11.0','A11.0' 'A6.0','A11.0' 'A6.0' 'S13.11','A11.0' 'A6.0' 'S13.11' 'S4.0','A11.0' 'A6.0' 'S13.11' 'S4.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'A6.0' ' ' 'V2.0' ','A11.0','A11.0' 'A6.0','A11.0' 'A6.0' 'V2.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'B2.0' ' ' 'V2.63' ','A11.0','A11.0' 'B2.0','A11.0' 'B2.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'B2.1' ' ' 'B2.0' ' ' 'S16.0' ' ' 'M18.11.2' ','A11.0','A11.0' 'B2.1','A11.0' 'B2.1' 'B2.0','A11.0' 'B2.1' 'B2.0' 'S16.0','A11.0' 'B2.1' 'B2.0' 'S16.0' 'M18.11.2', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'G9.7' ' ' 'S18.0' ' ' 'V2.63' ','A11.0','A11.0' 'G9.7','A11.0' 'G9.7' 'S18.0','A11.0' 'G9.7' 'S18.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'H2.0' ' ' 'V2.63' ','A11.0','A11.0' 'H2.0','A11.0' 'H2.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'K4.13' ' ' 'M10.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'K4.13','A11.0' 'K10.38A' 'K4.13' 'M10.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.0' ' ' 'B2.0' ' ' 'G10.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.0','A11.0' 'K10.38A' 'S14.0' 'B2.0','A11.0' 'K10.38A' 'S14.0' 'B2.0' 'G10.0', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.17' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.17', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.21' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.21', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.7' ' ' 'M2.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.7','A11.0' 'K10.38A' 'S14.7' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S16.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S16.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.0' ' ' 'A6.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.0','A11.0' 'K10.38A' 'V2.0' 'A6.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.23' ' ' 'V2.10' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.23','A11.0' 'K10.38A' 'V2.23' 'V2.10', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.63' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K3.0' ' ' 'M2.0' ','A11.0','A11.0' 'K3.0','A11.0' 'K3.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M10.1' ','A11.0','A11.0' 'M10.1', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M10.1' ' ' 'S16.1' ','A11.0','A11.0' 'M10.1','A11.0' 'M10.1' 'S16.1', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ','A11.0','A11.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ' ' 'N4.0' ' ' 'K2.1' ','A11.0','A11.0' 'M2.0','A11.0' 'M2.0' 'N4.0','A11.0' 'M2.0' 'N4.0' 'K2.1', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ' ' 'V5.0' ','A11.0','A11.0' 'M2.0','A11.0' 'M2.0' 'V5.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M6.43' ' ' 'V2.63' ','A11.0','A11.0' 'M6.43','A11.0' 'M6.43' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'N2.18' ' ' 'S14.1' ' ' 'V2.0' ' ' 'MS G1.0' ' ' 'V2.63' ' ' 'V2.2' ' ' 'K2.0' ' ' 'V1.0' ' ' 'A6.0' ','A11.0','A11.0' 'N2.18','A11.0' 'N2.18' 'S14.1','A11.0' 'N2.18' 'S14.1' 'V2.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0' 'V1.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0' 'V1.0' 'A6.0', , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'N4.0' ' ' 'S16.0' ' ' 'A12.0' ' ' 'K10.38A' ' ' 'M2.0' ','A11.0','A11.0' 'N4.0','A11.0' 'N4.0' 'S16.0','A11.0' 'N4.0' 'S16.0' 'A12.0','A11.0' 'N4.0' 'S16.0' 'A12.0' 'K10.38A','A11.0' 'N4.0' 'S16.0' 'A12.0' 'K10.38A' 'M2.0', , , , , , , , , , , , , , , , , , , , , 
