discomb,descomb,numcomb,grpcomb,npt,sttdis,node
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'A2.0' ',2,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'A2.0' ' ' 'J1.0' ' ' 'K2.0' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'A6.0' ' ' 'V2.63' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'A7.0' ' ' 'S16.0' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'MS T1.0' ' ' 'S14.18' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'S14.0' ',2,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'S16.0' ' ' 'S16.2' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.0' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.0' ' ' 'S15.42' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.0' ' ' 'V2.63' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.10' ' ' 'V2.23' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.36' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.63' ',1,A1.0,1
'A1.0','OTHER: Aamadosha,1,' 'A1.0' ' ' 'V2.75' ',1,A1.0,1
'A1.0' 'A2.0','OTHER: Aamadosha 'RMSD: Aamavaata,2,' 'A1.0' ' ' 'A2.0' ',2,A1.0,2
'A1.0' 'A2.0','OTHER: Aamadosha 'RMSD: Aamavaata,2,' 'A1.0' ' ' 'A2.0' ' ' 'J1.0' ' ' 'K2.0' ',1,A1.0,2
'A1.0' 'A6.0','OTHER: Aamadosha 'OTHER: Amlapitta,2,' 'A1.0' ' ' 'A6.0' ' ' 'V2.63' ',1,A1.0,2
'A1.0' 'A7.0','OTHER: Aamadosha 'OTHER: Anaha,2,' 'A1.0' ' ' 'A7.0' ' ' 'S16.0' ',1,A1.0,2
'A1.0' 'J1.2','OTHER: Aamadosha 'OTHER: Jvara- pitta,2,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,2
'A1.0' 'M10.1','OTHER: Aamadosha 'Metabolic: Medoroga - Sthula medho roga,2,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ',1,A1.0,2
'A1.0' 'MS T1.0','OTHER: Aamadosha 'OTHER: Twak Vivarnya,2,' 'A1.0' ' ' 'MS T1.0' ' ' 'S14.18' ',1,A1.0,2
'A1.0' 'S14.0','OTHER: Aamadosha 'RMSD: Sthaanabhedena Shoola,2,' 'A1.0' ' ' 'S14.0' ',2,A1.0,2
'A1.0' 'S16.0','OTHER: Aamadosha 'Metabolic: Sthaulya,2,' 'A1.0' ' ' 'S16.0' ' ' 'S16.2' ',1,A1.0,2
'A1.0' 'V2.0','OTHER: Aamadosha 'RMSD: Vaatavyaadhi,2,' 'A1.0' ' ' 'V2.0' ',1,A1.0,2
'A1.0' 'V2.0','OTHER: Aamadosha 'RMSD: Vaatavyaadhi,2,' 'A1.0' ' ' 'V2.0' ' ' 'S15.42' ',1,A1.0,2
'A1.0' 'V2.0','OTHER: Aamadosha 'RMSD: Vaatavyaadhi,2,' 'A1.0' ' ' 'V2.0' ' ' 'V2.63' ',1,A1.0,2
