option_id,field_id,display_order,option_value,status,value_code,phrase_category_id,pattern_id,old_option_id
263,52,1,LMP,A,"",,,
264,52,2,POG,A,"",,,
265,52,3,EDD,A,"",,,
266,52,4,G,A,"",,,
267,52,5,P,A,"",,,
268,52,6,A,A,"",,,
269,52,7,L,A,"",,,
270,52,8,D,A,"",,,
367,52,9,Antenatal/Foetal History,A,0,,,
423,109,1,Vegan,A,0,,,
424,109,2,Lacto vegan,A,0,,,
425,109,3,Ova Vegan,A,0,,,
426,109,4,Mixed Diet,A,0,,,
382,98,1,Rasa,A,0,,,
71,9,0,Fever,A,,,,
72,9,0,Chills,A,,,,
73,9,0,Night Sweats,A,,,,
74,9,0,Fatigue,A,,,,
75,10,0,Blurred Vision,A,,,,
76,10,0,Eye Pain,A,,,,
77,10,0,Eye Discharge,A,,,,
78,10,0,Dry Eyes,A,,,,
79,10,0,Decreased Vision,A,,,,
80,11,0,Sore Throat,A,,,,
81,11,0,Nose Bleed,A,,,,
82,11,0,Decreased Hearing,A,,,,
83,11,0,Ear Pain,A,,,,
84,11,0,Ear Discharge,A,,,,
85,12,0,Chest Pain,A,,,,
86,12,0,Palpitation,A,,,,
87,12,0,Edema,A,,,,
88,12,0,Vertigo,A,,,,
89,13,0,Shortness of Breath,A,,,,
90,13,0,Cough,A,,,,
91,13,0,Wheezing,A,,,,
92,14,0,Nausea,A,,,,
93,14,0,Vomiting,A,,,,
94,14,0,Excessive Thirst,A,,,,
95,14,0,Diarrhea,A,,,,
96,14,0,Vomiting Blood,A,,,,
97,14,0,Blood in Stool,A,,,,
98,14,0,Constipation,A,,,,
99,14,0,Abdominal Pain,A,,,,
100,15,0,Hematuria,A,,,,
101,15,0,Dysuria,A,,,,
102,15,0,Urinary Frequency,A,,,,
103,16,0,Joint Pain,A,,,,
104,16,0,Muscle Pain,A,,,,
105,16,0,Muscle Weakness,A,,,,
106,16,0,Joint Swelling,A,,,,
107,17,0,Rash,A,,,,
108,17,0,Dryness,A,,,,
109,17,0,Itching,A,,,,
110,17,0,Sores,A,,,,
111,17,0,Nail Discoloration,A,,,,
112,17,0,Abscess,A,,,,
113,18,0,Headache,A,,,,
114,18,0,Numbness,A,,,,
115,18,0,Lack of Coordination,A,,,,
116,18,0,Tremor,A,,,,
117,18,0,Vertigo,A,,,,
118,19,0,Depression,A,,,,
119,19,0,Anxiety,A,,,,
120,19,0,Alcohol Abuse,A,,,,
121,19,0,Drug Abuse,A,,,,
